frame_index,seq,header_stamp,aligned_stamp
0,1301,54475.067719000,54475.067719000
1,1302,54475.082977000,54475.082977000
2,1303,54475.098773000,54475.098773000
3,1304,54475.115359000,54475.115359000
4,1305,54475.132062000,54475.132062000
5,1306,54475.149086000,54475.149086000
6,1307,54475.166146000,54475.166146000
7,1308,54475.182304000,54475.182304000
8,1309,54475.198711000,54475.198711000
9,1310,54475.215284000,54475.215284000
10,1311,54475.232063000,54475.232063000
11,1312,54475.249454000,54475.249454000
12,1313,54475.266619000,54475.266619000
13,1314,54475.282277000,54475.282277000
14,1315,54475.298508000,54475.298508000
15,1316,54475.315262000,54475.315262000
16,1317,54475.332240000,54475.332240000
17,1318,54475.348852000,54475.348852000
18,1319,54475.367523000,54475.367523000
19,1320,54475.382414000,54475.382414000
20,1321,54475.399127000,54475.399127000
21,1322,54475.414982000,54475.414982000
22,1323,54475.433566000,54475.433566000
23,1324,54475.448976000,54475.448976000
24,1325,54475.466213000,54475.466213000
25,1326,54475.482088000,54475.482088000
26,1327,54475.498789000,54475.498789000
27,1328,54475.515160000,54475.515160000
28,1329,54475.532008000,54475.532008000
29,1330,54475.549064000,54475.549064000
30,1331,54475.566122000,54475.566122000
31,1332,54475.582200000,54475.582200000
32,1333,54475.598463000,54475.598463000
33,1334,54475.615609000,54475.615609000
34,1335,54475.632134000,54475.632134000
35,1336,54475.649489000,54475.649489000
36,1337,54475.668618000,54475.668618000
37,1338,54475.682795000,54475.682795000
38,1339,54475.700112000,54475.700112000
39,1340,54475.715018000,54475.715018000
40,1341,54475.732230000,54475.732230000
41,1342,54475.749052000,54475.749052000
42,1343,54475.768555000,54475.768555000
43,1344,54475.782247000,54475.782247000
44,1345,54475.798786000,54475.798786000
45,1346,54475.814980000,54475.814980000
46,1347,54475.833338000,54475.833338000
47,1348,54475.849125000,54475.849125000
48,1349,54475.866101000,54475.866101000
49,1350,54475.882217000,54475.882217000
50,1351,54475.898774000,54475.898774000
51,1352,54475.915310000,54475.915310000
52,1353,54475.932139000,54475.932139000
53,1354,54475.949249000,54475.949249000
54,1355,54475.966148000,54475.966148000
55,1356,54475.982239000,54475.982239000
56,1357,54475.999917000,54475.999917000
57,1358,54476.015380000,54476.015380000
58,1359,54476.032023000,54476.032023000
59,1360,54476.048300000,54476.048300000
60,1361,54476.067178000,54476.067178000
61,1362,54476.082815000,54476.082815000
62,1363,54476.100800000,54476.100800000
63,1364,54476.114998000,54476.114998000
64,1365,54476.132215000,54476.132215000
65,1366,54476.148692000,54476.148692000
66,1367,54476.165435000,54476.165435000
67,1368,54476.182511000,54476.182511000
68,1369,54476.198624000,54476.198624000
69,1370,54476.215154000,54476.215154000
70,1371,54476.233193000,54476.233193000
71,1372,54476.249136000,54476.249136000
72,1373,54476.266052000,54476.266052000
73,1374,54476.282064000,54476.282064000
74,1375,54476.299794000,54476.299794000
75,1376,54476.315093000,54476.315093000
76,1377,54476.331931000,54476.331931000
77,1378,54476.349238000,54476.349238000
78,1379,54476.366223000,54476.366223000
79,1380,54476.382134000,54476.382134000
80,1381,54476.399879000,54476.399879000
81,1382,54476.415235000,54476.415235000
82,1383,54476.431996000,54476.431996000
83,1384,54476.448581000,54476.448581000
84,1385,54476.467115000,54476.467115000
85,1386,54476.482702000,54476.482702000
86,1387,54476.500036000,54476.500036000
87,1388,54476.515106000,54476.515106000
88,1389,54476.533427000,54476.533427000
89,1390,54476.548367000,54476.548367000
90,1391,54476.564696000,54476.564696000
91,1392,54476.581882000,54476.581882000
92,1393,54476.598628000,54476.598628000
93,1394,54476.615109000,54476.615109000
94,1395,54476.633144000,54476.633144000
95,1396,54476.649087000,54476.649087000
96,1397,54476.666039000,54476.666039000
97,1398,54476.682128000,54476.682128000
98,1399,54476.699586000,54476.699586000
99,1400,54476.715157000,54476.715157000
100,1401,54476.731854000,54476.731854000
101,1402,54476.749143000,54476.749143000
102,1403,54476.768360000,54476.768360000
103,1404,54476.782569000,54476.782569000
104,1405,54476.800024000,54476.800024000
105,1406,54476.814937000,54476.814937000
106,1407,54476.832072000,54476.832072000
107,1408,54476.848257000,54476.848257000
108,1409,54476.866897000,54476.866897000
109,1410,54476.882350000,54476.882350000
110,1411,54476.898331000,54476.898331000
111,1412,54476.914916000,54476.914916000
112,1413,54476.932999000,54476.932999000
113,1414,54476.948689000,54476.948689000
114,1415,54476.967190000,54476.967190000
115,1416,54476.982790000,54476.982790000
116,1417,54476.999779000,54476.999779000
